tweet,keyword,date,user,source,tweet_id,url
@realDonaldTrump We got soft-ball Chuck Todd lobbing a few for Joe Biden this morning! Gotta love no ?s about the BIG issue dogging Sleepy Joe? #BidenCrimeFamily,"biden, #biden",2020-02-16 16:20:20,bogey91656,Twitter Web App,1229078064061022208,https://twitter.com/statuses/1229078064061022208
"Tom Steyer
TV-KOVR (STOCKTON, CA)",steyer,2020-02-16 16:20:20,FCCFed,FCC Federal Political Files,1229078065419960322,https://twitter.com/statuses/1229078065419960322
@_SJPeace_ I am actually disappointed in how many people I have seen endorsing Bloomberg,bloomberg,2020-02-16 16:20:21,myname_bitch,Twitter for Android,1229078067232022536,https://twitter.com/statuses/1229078067232022536
@JoshuaHol Nominating Bloomberg normalizes Trumpism for Centrists,bloomberg,2020-02-16 16:20:21,AimIessFriend,Twitter for iPhone,1229078069081706502,https://twitter.com/statuses/1229078069081706502
Pete Buttigieg: I am Not Going To Take Lectures On Family Values From The Likes Of Rush Limbaugh,buttigieg,2020-02-16 16:20:22,LiberalFenix,IFTTT,1229078073607368707,https://twitter.com/statuses/1229078073607368707
"@FlyThaiMMA I would tone it down and say with Liz as VP he would have a very hard time getting into the White House in the first place.

Tulsis an asset. Warren? Trump would thank Bernie on his knees.",warren,2020-02-16 16:20:22,BernieSGermany,Twitter Web App,1229078074689544192,https://twitter.com/statuses/1229078074689544192
Democrat Presidential Candidate Mike Bloomberg Tells Nashville Crowd He will Raise Taxes and Crush the NRA,bloomberg,2020-02-16 16:20:22,Oohoo3,Twitter Web Client,1229078075251576834,https://twitter.com/statuses/1229078075251576834
@lindyli I do not care about what he said/thought 400 years ago.  I care about who he is right now.  I like the current day Bernie Sanders.,sanders,2020-02-16 16:20:23,WhenGoodMenDoS1,Twitter Web App,1229078077168242688,https://twitter.com/statuses/1229078077168242688
@FoxCahn Putting him below Gabbard is harsh.,gabbard,2020-02-16 16:20:23,JimmyHSands,Twitter Web App,1229078078833426433,https://twitter.com/statuses/1229078078833426433
Do more Days/Daze of Disinformation remain as RWNJs float a Bloomberg-Clinton ticket  via @dailysoundnfury,bloomberg,2020-02-16 16:20:24,nurseylu,Twitter for Android,1229078080519577600,https://twitter.com/statuses/1229078080519577600
"@NelStamp Hard pass. This is a terrible idea. Between this and Stop & Frisk,  I will never vote for this guy no matter how many pretty commercials he has produced for himself. #VoteBlueNoMatterWho except Bloomberg.",bloomberg,2020-02-16 16:20:24,TiffanyMedrano,Twitter for Android,1229078082469998593,https://twitter.com/statuses/1229078082469998593
You might say b/c Bloomberg is in the DOUGH! LOTS OF BREAD MAKES RADICAL MEDIA SMILE!,bloomberg,2020-02-16 16:20:24,kentuckygypsy,Twitter Web App,1229078082495094784,https://twitter.com/statuses/1229078082495094784
Sen. Amy Klobuchar: People want plans not pipedreams  via @YouTube,klobuchar,2020-02-16 16:20:24,Dee75205773,Twitter for iPhone,1229078083182977026,https://twitter.com/statuses/1229078083182977026
"2.16.20 - Trump Daytona 500, Bloomberg + Satan (HRC), Hannity says ARRES...  via @YouTube",bloomberg,2020-02-16 16:20:24,Aldebaran519,Twitter Web Client,1229078083350794241,https://twitter.com/statuses/1229078083350794241
Read my Feb 16 Newsletter featuring “Bloombergs Billions: How the Candidate Built an Empire of Influence”,bloomberg,2020-02-16 16:20:25,evankirstel,Nuzzel,1229078085355655177,https://twitter.com/statuses/1229078085355655177
"Former US VP & Democratic presidential candidate Joe Biden called a woman a ‘lying dog-faced pony soldier’ after she asked him about his poor performance in Iowa



#JoeBiden #UnitedStates",biden,2020-02-16 16:20:25,povonewstv,Twitter Web App,1229078085921837058,https://twitter.com/statuses/1229078085921837058
"Biden is very good of disowning anyone that disagrees with him. Told voters to vote for others,
has called a grown woman ""child"" another a ""lying, dog faced pony"" called men fat, liars and challenged them to push up contest. He has no room to talk @NBCNewsPR",biden,2020-02-16 16:20:26,Alscool1,Twitter for Android,1229078090426593280,https://twitter.com/statuses/1229078090426593280
Aquí nació la revolución de Bernie Sanders  vía @elpais_inter,sanders,2020-02-16 16:20:26,diana_led30,Twitter for Android,1229078090678059008,https://twitter.com/statuses/1229078090678059008
"@LOLGOP If you realize that the attempts to mitigate climate change, which threatens to make many species extinct and cost trillions, then it’s rather unseemly to play whataboutism with Bloomberg on issues that aren’t nearly as life altering on a global scale.",bloomberg,2020-02-16 16:20:27,haf118,Twitter for iPhone,1229078092276215808,https://twitter.com/statuses/1229078092276215808
This is Bloomberg’s America 😏,bloomberg,2020-02-16 16:20:27,50shadesofsolg,Twitter for iPhone,1229078093329043458,https://twitter.com/statuses/1229078093329043458
"Another thing I have noticed. Bloomberg is a TRUE THREAT to Dumptys ""Presidency""! Why is Bloomberg, all of the sudden, a HOT MEDIA TOPIC?!? 2+2 folks!",bloomberg,2020-02-16 16:20:27,naeshai05,Twitter for Android,1229078094448930816,https://twitter.com/statuses/1229078094448930816
...look I like Tom Steyer,steyer,2020-02-16 16:20:27,gaygatz,Twitter for iPhone,1229078094776033280,https://twitter.com/statuses/1229078094776033280
"Wonder if this is true? 🤔

Mike Bloomberg once told an employee to find ""some black"" to nanny  via",bloomberg,2020-02-16 16:20:27,cortes_loretta,Twitter for Android,1229078096252370945,https://twitter.com/statuses/1229078096252370945
