Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
@ZODIAC_MF Nightly 3 hour debates until Biden has a seizure or Bernie has a heart attack can settle this,biden,2020-03-06 13:47:41,renuvian,Twitter for iPhone,1235925019320037377,https://twitter.com/statuses/1235925019320037377
"#MichiganPrimary please give America the gift that keeps on giving, get in the car with @JoeBiden. https://t.co/2844nVtQCU",biden,2020-03-06 13:47:41,gamefish42,Twitter Web App,1235925018661531648,https://twitter.com/statuses/1235925018661531648
"I've been thinking about where I would like to see @ewarren deploy her power. I think it's gotta be Biden. Biden has a problematic record, Bernie is problematic too. The combo of Biden and Warren though could be symbiotic with Warren adding progressiveness to Biden's stability.",biden,2020-03-06 13:47:41,mikeonitstuff,Twitter Web App,1235925020280590343,https://twitter.com/statuses/1235925020280590343
"This is inescapable:  he argued on the floor of the Senate that he had a duty to his God and to his family and to his station to prosecute the truth regardless of the “appearance” or fallout. 

Vacate your seat!  @SenatorRomney You have lied and betrayed your constituents.",,2020-03-06 13:47:41,DeadofKnight68,Twitter for iPhone,1235925020490096647,https://twitter.com/statuses/1235925020490096647
"With much respect...

A mansion, Sir, but yes...

Another house.",,2020-03-06 13:47:42,BuzzLtYr2001,Twitter for Android,1235925023061352448,https://twitter.com/statuses/1235925023061352448
Chad Biden,biden,2020-03-06 13:47:42,Real_Xi_Jinping,Twitter for Android,1235925023929573383,https://twitter.com/statuses/1235925023929573383
It’s now Crazy or Senile !!!,,2020-03-06 13:47:43,CwilsoJ,Twitter for iPhone,1235925025250783232,https://twitter.com/statuses/1235925025250783232
@MSNBC Biden is not a decent guy. Biden is a politician who is last century https://t.co/UxuyOv5kr7,biden,2020-03-06 13:47:43,billbar29264770,Twitter for iPhone,1235925025758343168,https://twitter.com/statuses/1235925025758343168
Mittens needs to back the H down...,,2020-03-06 13:47:43,JodiBenedict,Twitter for iPad,1235925026924306433,https://twitter.com/statuses/1235925026924306433
@SpockResists Perhaps she’s waiting for Biden & Bernie to bow out first and be the last one standing!  It truly is mystifying!,biden,2020-03-06 13:47:43,Kenai61,Twitter for iPhone,1235925027767357442,https://twitter.com/statuses/1235925027767357442
"Some goose stepping moron unfurled a fucking Nazi flag at a Sanders rally. To which Sanders says: ""Whoever it is, I think you're a little outnumbered tonight and you will be in November.""  Badass.  https://t.co/4g5jlDhwbi",sanders,2020-03-06 13:47:43,cbran40478,Twitter for Android,1235925027637223425,https://twitter.com/statuses/1235925027637223425
A helluva piece https://t.co/PUc7vtEsnL,,2020-03-06 13:47:43,jddavidson,Twitter for Android,1235925027964346368,https://twitter.com/statuses/1235925027964346368
https://t.co/SqqZriQ3WO,,2020-03-06 13:47:43,altha1952,Twitter Web App,1235925028170063873,https://twitter.com/statuses/1235925028170063873
"""Some of you were mean so none of you deserve healthcare!"" there is no yikes big enough for this fucking nonsense",,2020-03-06 13:47:43,ABigFatBull,Twitter Web App,1235925029084377090,https://twitter.com/statuses/1235925029084377090
to all those moving from Warren to Biden... did you even support Warren’s policies? did you understand what she was fighting for? please take a look at Biden’s track record. be wise.,biden,2020-03-06 13:47:44,nandinim0409,Twitter for iPhone,1235925030510440448,https://twitter.com/statuses/1235925030510440448
"Joe Biden entered the 2020 race with a video calling out white supremacists in Charlottesville. Something he should do again, right now!",biden,2020-03-06 13:47:44,davidgross_man,Twitter Web App,1235925031156420608,https://twitter.com/statuses/1235925031156420608
I don’t even think he’s forgetting. His mistakes are sounding like of someone who’s been told “don’t say or mention these topics” and right as he’s about to say the unspeakable he stops himself giving us the impression that he’s completely lost it.,,2020-03-06 13:47:44,itsdadscomputer,Twitter for iPhone,1235925031718473728,https://twitter.com/statuses/1235925031718473728
@BigRedGal1 Biden cannot remember which state he’s in whether he’s running for president or senate who his wife is who is dead or not and/or who can stand or not. This is the best the Democrats can do? Pathetic. https://t.co/Pxzkh8ZZqb,biden,2020-03-06 13:47:44,debnbob100,Twitter for iPhone,1235925031844118528,https://twitter.com/statuses/1235925031844118528
"@RealJamesWoods He's intentionally been a placeholder for Killary...garnering votes to transfer.
Sanders base are haters, so they'll never switch parties and will cast their votes for Biden through gnashed teeth😬","biden, sanders",2020-03-06 13:47:44,joy_there,Twitter for iPhone,1235925033249357825,https://twitter.com/statuses/1235925033249357825
This.,,2020-03-06 13:47:44,excelandprevail,Twitter for iPhone,1235925033345781760,https://twitter.com/statuses/1235925033345781760
fun fact: o trump foi à união soviética em 1987,,2020-03-06 13:47:45,rntdlsss,Twitter Web App,1235925033597521921,https://twitter.com/statuses/1235925033597521921
Will The Black Voters STILL Love Biden When This Old Video Goes Viral https://t.co/ZTHAOWEXDO via @Doug_Giles,biden,2020-03-06 13:47:45,jackleisen,Twitter Web Client,1235925034713128960,https://twitter.com/statuses/1235925034713128960
In US elections Sanders must defy Democrat campaign to stop him and stand for President https://t.co/zSH5VzmGDf via @ Workers Revolutionary Party,sanders,2020-03-06 13:47:45,rogerablackwell,Twitter Web Client,1235925034755072000,https://twitter.com/statuses/1235925034755072000
@senatemajldr Kick Romney‘s ass off of all of the committees the fact that he is calling an investigation into Biden political but he voted with the Democrats against Trump is a fucking disgrace!,biden,2020-03-06 13:47:45,DStar98843517,Twitter for iPhone,1235925036420272128,https://twitter.com/statuses/1235925036420272128
They know the DNC will tear them down & never support another run for public office if they don't get behind moderate Biden. We all know.,biden,2020-03-06 13:47:46,ArrestTrumpNow3,Twitter Web App,1235925038580318213,https://twitter.com/statuses/1235925038580318213
I’m living for the replies,,2020-03-06 13:47:46,Minnesotanomics,Twitter for iPhone,1235925040962695174,https://twitter.com/statuses/1235925040962695174
Does he want to become #Democrate?,,2020-03-06 13:47:46,BPotdar,Twitter for Android,1235925041411428357,https://twitter.com/statuses/1235925041411428357
Best to dismiss anyone spouting the Burisma distraction and yell NEXT,,2020-03-06 13:47:47,Ridim_Luv,Twitter Web App,1235925042476847109,https://twitter.com/statuses/1235925042476847109
People who don't even live in the states and struggle through poorly written policies of the ACA want to push for Biden falsely comparing it to their public option. Too bad the ACA was NOT entirely public with minimum requirements. @nojoe #GreenNewDeal #M4A,biden,2020-03-06 13:47:47,mootlamb,Twitter for Android,1235925042778771457,https://twitter.com/statuses/1235925042778771457
"Joe Biden thinks 150 million people were killed by guns since 2007

Brian Williams thinks 1 million x 330 million = 500 million

And the media never facts checks! 
Public school has failed us all",biden,2020-03-06 13:47:47,kathy_kits,Twitter for iPhone,1235925044167131136,https://twitter.com/statuses/1235925044167131136
"Oh yes! For 3 1/2 years we've watched the decline of a demented madman. It's health or lack thereof is absolute fair game. Speaking of, how bout that midnight run to Walter Reed?",,2020-03-06 13:47:48,lesleyabravanel,Twitter Web Client,1235925046029414407,https://twitter.com/statuses/1235925046029414407
"@GregGrandin It’s a game for some people and they’d rather have 4 more years of being shocked and outraged or even watch a racist, senile, warmonger forget where he is than accept the truth about Sanders inclusive, loving and justice based movement.",sanders,2020-03-06 13:47:48,AnnabelForMayor,Twitter Web App,1235925047233167361,https://twitter.com/statuses/1235925047233167361
There are a bunch of people resentful that Biden is ahead.,biden,2020-03-06 13:47:48,ChopperEl1,Twitter for iPhone,1235925047350616065,https://twitter.com/statuses/1235925047350616065
