Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
via @realDailyWire: Twitter Flags Biden Video Retweeted By Trump As ‘Manipulated Media’  WH Social Media Director: ‘Dangerous Precedent’ https://t.co/oZEjDPSjfq https://t.co/mG5VuqLILw,biden,2020-03-09 15:10:06,commonpatriot,dlvr.it,1237032921107533824,https://twitter.com/statuses/1237032921107533824
Twitter Flags Biden Video Retweeted By Trump As ‘Manipulated Media’  WH Social Media Director: ‘Dangerous Precedent’ https://t.co/cdB0CwZNVc,biden,2020-03-09 15:10:05,MadWorldNews,dlvr.it,1237032920511950848,https://twitter.com/statuses/1237032920511950848
"Jamie Dimon will NEVER be treasury secretary. Today of all days, please stop this stupid stuff.",,2020-03-09 15:10:06,GhostBetsyRoss,Twitter for iPad,1237032922395246595,https://twitter.com/statuses/1237032922395246595
"#RussiaCollusionHoax 
#QuidProJoe

BREAKING EXCLUSIVE: Joe Biden's Former IT Director, Warren Flood, Implicated in 'Russia Hacked the DNC Email' Narrative. https://t.co/yI1PtKRivR",biden,2020-03-09 15:10:07,BARTLETTED,Twitter for Android,1237032926446936064,https://twitter.com/statuses/1237032926446936064
"@PhilipLeButt Ganz armseliger Versuch, Philip. Merkst du aber selbst nicht mehr.
Die Demokraten sind eine völlig korrupte Partei und weder Biden noch Clinton oder sonst irgendwer von den ""Moderaten"" interessiert sich für die Belange der Mehrheit der US-Bürger.",biden,2020-03-09 15:10:07,letatcestmoi2,Twitter Web App,1237032927260741632,https://twitter.com/statuses/1237032927260741632
https://t.co/MojXtjTRxQ,,2020-03-09 15:10:08,EdwardAlamo1,Twitter for Android,1237032929605423104,https://twitter.com/statuses/1237032929605423104
Former do he was fired?  Don’t blame Bernie if this is true then the guy is a jerk,,2020-03-09 15:10:08,pilot991,Twitter for iPhone,1237032930024677376,https://twitter.com/statuses/1237032930024677376
@axios is click bait and spreading lies about Joe Biden.,biden,2020-03-09 15:10:08,rick00979,Twitter Web App,1237032930196758528,https://twitter.com/statuses/1237032930196758528
@jairbolsonaro Sanders 2020 !,sanders,2020-03-09 15:10:08,envelator,Twitter for iPhone,1237032930511171584,https://twitter.com/statuses/1237032930511171584
"@CameronYeager And Bernie had an hour on Maddow last week. And you say ""me too"" like it's a bad thing. And Yang never polled high enough to take him seriously. And how would you know if you're not watching? Two weeks ago every pundit declared Biden's candidacy over, but what are facts right?",biden,2020-03-09 15:10:08,safarishane,Twitter Web App,1237032930926567426,https://twitter.com/statuses/1237032930926567426
"@realDonaldTrump With the stock market crashing and a pandemic raging, I would just like to point out that Joe Biden served with the Obama administration through their stimulus package and through Ebola and that experience looks pretty damn relevant right now.
#TrumpVirus #stockmarketcrash",biden,2020-03-09 15:10:08,kdeemac13,Twitter for iPad,1237032931991805952,https://twitter.com/statuses/1237032931991805952
@SarahKSilverman Now you’ll post videos of animals. And pretend you didn’t say what you said. All the whole Bernie sanders didn’t even show up in Selma.,sanders,2020-03-09 15:10:08,LeeNME12,Twitter for iPhone,1237032932277202944,https://twitter.com/statuses/1237032932277202944
Pro-gun safety Brady group endorses Joe Biden for president https://t.co/2F9BLSRDLN https://t.co/AWHvX88PqY,biden,2020-03-09 15:10:08,CNNPolitics,SocialFlow,1237032932365271041,https://twitter.com/statuses/1237032932365271041
"@thenation Biden will not get votes from people who have an urgent real-world need for Progressive policies. Without Progressive & Independent voters, Biden will not beat trump. Pushing a Biden nomination guarantees trump’s reelection, & it is a 100% avoidable error on Dems’s part.",biden,2020-03-09 15:10:09,QuantumSpooky,Twitter for iPhone,1237032933753528320,https://twitter.com/statuses/1237032933753528320
"@ewaldeng Said the bitch on twitter... 

Mijn mening! 
Sanders zou meer kans maken, dan zij..., ooit heeft kunnen maken, tegen Trump.",sanders,2020-03-09 15:10:09,bob_fester,Twitter Web App,1237032934252728320,https://twitter.com/statuses/1237032934252728320
Now THAT'S a debate that I would pay good money to watch!,,2020-03-09 15:10:09,Barr__Rebecca,Twitter Web Client,1237032936718782464,https://twitter.com/statuses/1237032936718782464
@RobbleConnor Biden is a disaster lol.,biden,2020-03-09 15:10:09,MICHAELANGELOvp,Twitter Web App,1237032937318764544,https://twitter.com/statuses/1237032937318764544
"Las Vegas News Markets are tanking, coronavirus is spreading – and Trump is attacking Biden and the media - CNBC https://t.co/5ZMXDukKHL https://t.co/oOCjH8fXdA",biden,2020-03-09 15:10:08,LasVegas_NC,dlvr.it,1237032932109217794,https://twitter.com/statuses/1237032932109217794
HANOI,,2020-03-09 15:10:09,jjcrocket,Twitter Web App,1237032937205399552,https://twitter.com/statuses/1237032937205399552
"@BernieSanders Biden floated Jamie Dimon for the treasury today. 

Just in case people were still on the fence about who to support here...","biden, sanders",2020-03-09 15:10:09,thesweatytuna,Twitter for Android,1237032937431937025,https://twitter.com/statuses/1237032937431937025
O. My. God. It is happening,,2020-03-09 15:10:09,LifeTilt617,Twitter for iPhone,1237032937763340290,https://twitter.com/statuses/1237032937763340290
@chucktodd You and your cohorts minus Rev are like Fox News with Trump as you are MSNBC for Biden!You should feel ashamed of your biased opinions about Biden!You stink!Then you guys step back and pretend you don’t have any idea about biased opinions!Tell the news that’s your job!,biden,2020-03-09 15:10:09,FrancineSterud,Twitter Web App,1237032937738178561,https://twitter.com/statuses/1237032937738178561
If Bernie gets blown out tomorrow he needs to drop out.,,2020-03-09 15:10:10,tsampys25,Twitter for iPhone,1237032937977233410,https://twitter.com/statuses/1237032937977233410
"@chrisjollyhale cool well let me just tell you, from one red stater to another, Biden's dementia-addled mush brain is only going to get worse -- you can hope against hope that a recession will save you, but chances are good it won't. And you'll somehow manage to lose even more TN leg seats",biden,2020-03-09 15:10:10,inthesedeserts,Twitter Web App,1237032938451210240,https://twitter.com/statuses/1237032938451210240
Poll: Biden holds big advantage over Sanders in Arizona View and Comment Here: https://t.co/ZOcjt2QnMw https://t.co/V9WFFBycCb,"biden, sanders",2020-03-09 15:10:10,libertyactivist,IFTTT,1237032938388193283,https://twitter.com/statuses/1237032938388193283
"Cory Booker Endorses Joe Biden Despite Recent Remarks About His Cognitive Decline

The cynicism is astounding. It's as if they all want to lose. 

https://t.co/EIQIbUMwPk",biden,2020-03-09 15:10:11,christoaivalis,Twitter Web App,1237032942146289665,https://twitter.com/statuses/1237032942146289665
"@PantherVicious ""So basically you want 4 more years of trump?"" That's a joke right? Putin and trump want Sanders as a nominee for a reason, Putin is upset that Biden is surging and told trump to ramp up attacks. Sanders  big surrogates are vile and  I've blocked as many Sanders fans as MAGAts.","biden, sanders",2020-03-09 15:10:11,jojo_luvs_rain,Twitter Web App,1237032943748558848,https://twitter.com/statuses/1237032943748558848
Biden will lose. I’ll vote for him.  Just like I did Hillary. He will lost. Just like Hillary.,biden,2020-03-09 15:10:11,ElectionCoin,Twitter for iPhone,1237032943891042306,https://twitter.com/statuses/1237032943891042306
Civil Rights Leader Rev. Jesse Jackson Endorses Bernie Sanders for President https://t.co/jBYcciaVOj,sanders,2020-03-09 15:10:11,JezzabeauC,Twitter Web Client,1237032944860094464,https://twitter.com/statuses/1237032944860094464
Where are your TAXES?  The Obama/Biden Administration gave their taxes to the public for examination. No one in their administration or campaign has been convicted of criminal wrongdoing.  Project much?,biden,2020-03-09 15:10:11,linda_shamar,Twitter for iPad,1237032944809672706,https://twitter.com/statuses/1237032944809672706
Manipulated video. They just don't stop with the lies. Scavino is an unpatriotic scavenger.,,2020-03-09 15:10:11,Lindag3333,Twitter Web App,1237032945501814785,https://twitter.com/statuses/1237032945501814785
"@thenation Part of me wants to see Trump vs. Biden...

The other part of me understands Biden doesn't stand a chance.",biden,2020-03-09 15:10:12,PNW_Views,Twitter Web App,1237032947896762368,https://twitter.com/statuses/1237032947896762368
https://t.co/JM22M2Pgtt,,2020-03-09 15:10:12,truthplease12,Twitter for iPhone,1237032947640926208,https://twitter.com/statuses/1237032947640926208
@brianscully Bernie Sanders is the Ted Cruz of the left. Noone likes him.,sanders,2020-03-09 15:10:12,Whyuhere3,Twitter for Android,1237032948290985986,https://twitter.com/statuses/1237032948290985986
@MarshaTaylor247 Toxic Biden Bro?  ),biden,2020-03-09 15:10:12,boo_qc,Twitter Web App,1237032948349702149,https://twitter.com/statuses/1237032948349702149
"This is but ONE REASON why we don't trust the media!

@mustang_mari",,2020-03-09 15:10:12,MeliBarrientes,Twitter for iPhone,1237032948655947776,https://twitter.com/statuses/1237032948655947776
@BreeNewsome ICYMI: https://t.co/7dQ5fCGGfo,,2020-03-09 15:10:12,WanderinChild,Twitter for Android,1237032949947629568,https://twitter.com/statuses/1237032949947629568
"@lil_yenta Wow, I really don't like Biden and this is really hard to watch. 
Bernie needs to take the gloves off, because Drumph is going to take Biden out with the trash.",biden,2020-03-09 15:10:12,LenniBug,Twitter for Android,1237032950052552707,https://twitter.com/statuses/1237032950052552707
"Wow, this guy has lost it!",,2020-03-09 15:10:12,DaveRubin60,Twitter for iPad,1237032950140715011,https://twitter.com/statuses/1237032950140715011
@DailyCaller Why she is not worried about Sanders and Biden’s rallies?,"biden, sanders",2020-03-09 15:10:13,pajounia,Twitter for iPhone,1237032950551719937,https://twitter.com/statuses/1237032950551719937
"""What's He Going to Be Like Three Years from Now?"" - Rudy Giuliani on Joe Biden: ""Bernie Was So Frightening that They Picked the Man with Obvious Signs of Dementia"" https://t.co/qkaZuYvi5Y via @gatewaypundit",biden,2020-03-09 15:10:13,NuAgePatriot,Twitter Web Client,1237032950719492099,https://twitter.com/statuses/1237032950719492099
@jeneps The person you should have asked that question is melting down on Twitter....#DonaldTrump. Joe Biden isn't the president....yet.,biden,2020-03-09 15:10:13,bluepolitics_,Twitter for Android,1237032951810076674,https://twitter.com/statuses/1237032951810076674
Mi fa pisciare che continuino a considerare Sanders comunista,sanders,2020-03-09 15:10:13,antarrtide,Twitter for iPhone,1237032951751282689,https://twitter.com/statuses/1237032951751282689
I'm getting tired of the divisive tactics and attitude of the Biden Bros. Biden needs to take responsibility for his supporters actions. @JoeBiden #BidenBros,biden,2020-03-09 15:10:13,JoeBeertap,Twitter for Android,1237032952627937281,https://twitter.com/statuses/1237032952627937281
"Bernie Sanders just drove by my work on 55, not one electric vehicle #SMH",sanders,2020-03-09 15:10:13,Bob_U_FanClub,Twitter for iPhone,1237032952938270720,https://twitter.com/statuses/1237032952938270720
He’s George Sorros’s puppet!! Has been for years!!!,,2020-03-09 15:10:13,RussellCherry7,Twitter for iPhone,1237032953705910272,https://twitter.com/statuses/1237032953705910272
Arizona is Biden country.,biden,2020-03-09 15:10:13,razingarizona,Twitter for iPhone,1237032953873489920,https://twitter.com/statuses/1237032953873489920
@IngrahamAngle Laura. Have you acknowledged that your retweet of the Biden video had been doctored? If not then you are part of the problem on  Twitter.  Stand up and be counted for honest reporting.,biden,2020-03-09 15:10:14,NorrisRMMorgan,Twitter Web App,1237032955903537152,https://twitter.com/statuses/1237032955903537152
"@QTRResearch Jfc, if I  was thinking about wisdom tree...just forget it. 
 He starts out by saying it's up to Biden to announce his plan. Biden doesn't even know where he is.

Then says trump hasn't done anything. 

Then he says we need another .50% rate cut.",biden,2020-03-09 15:10:14,Ggmoney991,Twitter for Android,1237032957459795969,https://twitter.com/statuses/1237032957459795969
"Jane Fonda supporting Bernie Sanders, calling him the ‘climate candidate’ | Fox News https://t.co/K12ZwD3L0g",sanders,2020-03-09 15:10:15,JoinPatriotify,WordPress.com,1237032959040983041,https://twitter.com/statuses/1237032959040983041
Donald Trump Jr. challenges Hunter Biden to debate over who made more money off dad’s public service | Fox News https://t.co/36YcxfGWnh,biden,2020-03-09 15:10:15,JoinPatriotify,WordPress.com,1237032959020019712,https://twitter.com/statuses/1237032959020019712
LauraLeeTrump = TRASH,,2020-03-09 15:10:15,Kelvwsmith,Twitter for iPhone,1237032959191867394,https://twitter.com/statuses/1237032959191867394
They are horriibly deceitful & completely shameless!!!,,2020-03-09 15:10:15,BWalker73116489,Twitter for Android,1237032960819449858,https://twitter.com/statuses/1237032960819449858
"@shaunking I’m thinking they nominate Biden then he is pressured to back out, and put somebody else in his place for the general.",biden,2020-03-09 15:10:15,redjmb57,Twitter Web App,1237032960873975809,https://twitter.com/statuses/1237032960873975809
"You report on Bernie for POLITICO....

The right wing rag pretending to be liberal?",,2020-03-09 15:10:15,blackangelband2,Twitter Web App,1237032961964269568,https://twitter.com/statuses/1237032961964269568
"joe biden voted to allow the birth of the 401(k) in 1978, ruining millions of workers' ability to retire successfully by allowing companies to tie retirements to the stock market. (bernie sanders didn't  he was busy mayoring at the time) https://t.co/us8XUSrCtt https://t.co/mQ4N1QphXH","biden, sanders",2020-03-09 15:10:15,flakealso,TweetDeck,1237032961519652866,https://twitter.com/statuses/1237032961519652866
"Biden's brother facing fraud allegations, used family ties to advance business interests: report https://t.co/yerHHVbSBZ #FoxNews",biden,2020-03-09 15:10:16,sa55m55a,Twitter Web Client,1237032965013671937,https://twitter.com/statuses/1237032965013671937
Trump focus has been the safety of the nation! Democrats have used every trick possible to stop the President’s wall! Sanders open borders will turn the country into a war zone of hundreds of thousands of murders! Those American deaths are Sander’s plan!,sanders,2020-03-09 15:10:16,Pat51863150,Twitter for iPad,1237032966418599936,https://twitter.com/statuses/1237032966418599936
HOW SAD! WILL BE AMUSING SEEING BIDEN VS TRUMP IN DEBATES. GREAT FODDER FOR SNL. BUT SAD FOR OUR COUNTRY.,biden,2020-03-09 15:10:17,Beverly35447345,Twitter Web App,1237032968272699398,https://twitter.com/statuses/1237032968272699398
@KamalaHarris Did he promise to make you his VP or something?? 🤔 https://t.co/ohhvFJTCS5,,2020-03-09 15:10:17,RhondaKayC,Twitter for iPhone,1237032969501650945,https://twitter.com/statuses/1237032969501650945
Now this is 100% proof of how the Sanders camp upsets people. Betocrats know this young man and he never cusses.,sanders,2020-03-09 15:10:17,Texasgemi,Twitter for Android,1237032970193526785,https://twitter.com/statuses/1237032970193526785
@anthonyvclark20 So are you saying that the Democratic electorate that supports Biden are racist and sexist? 🤦🏼‍♂️,biden,2020-03-09 15:10:18,loucor75,Twitter for iPhone,1237032971489533952,https://twitter.com/statuses/1237032971489533952
@PolitiFact Remember when you waited a week until fact-checking Joe Biden's insane lie about getting arrested trying to meet Mandela?? You really think we think you're not partisan?,biden,2020-03-09 15:10:18,CoDenominator,Twitter for Android,1237032971993055234,https://twitter.com/statuses/1237032971993055234
"Biden picks Hillary for VP...
Biden hangs himself in the shower...TWICE...
Hillary steps in to run for President...
Trump kicks ass...
America Made Great Again...",biden,2020-03-09 15:10:18,ThomasEKenney1,Twitter Web App,1237032973964382210,https://twitter.com/statuses/1237032973964382210
