Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
Who on earth do these “Bernie supporters” work for? 😳😳,,2020-02-21 14:24:54,AK4WA,Twitter for iPhone,1230860956328251393,https://twitter.com/statuses/1230860956328251393
"The painful beating Bloomberg took during last night’s debate probably wasn’t lethal, but his meekness on policy could be, writes @KimStrassel https://t.co/5tIhS3qvXq",bloomberg,2020-02-21 14:24:55,Bob_Landry1,Twitter for iPad,1230860958098214914,https://twitter.com/statuses/1230860958098214914
Bernie Sanders complains about billionaires through media channels and apps built by billionaires. #Democrats2020,sanders,2020-02-21 14:24:56,edwindearborn,Twitter for iPhone,1230860961747091457,https://twitter.com/statuses/1230860961747091457
"It's absolutely time to transition away from the dirtiest form of oil extraction!
https://t.co/FsoT2k24Ee",,2020-02-21 14:24:56,HangryGenXer,Twitter for Android,1230860961889710080,https://twitter.com/statuses/1230860961889710080
"McSweeney's made me laugh so hard I almost snorted my coffee across the room.
Maura Quint’s Presidential Debate Recaps: The One With Mike Bloomberg - McSweeney’s Internet Tendency https://t.co/fYQxJz9h1e",bloomberg,2020-02-21 14:24:56,baltmom,Twitter Web Client,1230860962024054785,https://twitter.com/statuses/1230860962024054785
Ingraham: Why Bloomberg is failing https://t.co/jMsX4TGzu5 via @YouTube,bloomberg,2020-02-21 14:24:56,dukeland99,Twitter Web Client,1230860963026546688,https://twitter.com/statuses/1230860963026546688
"One thing is certain now no more repatriation of Abacha Loot.

U.S. Opposes Nigeria Plan to Hand Looted Funds to Governor  https://t.co/8xj5IN7Gex",,2020-02-21 14:24:56,abanobi_,Twitter for Android,1230860964746190849,https://twitter.com/statuses/1230860964746190849
@danato84 Especially with someone like Bloomberg who is paying astronomical amounts to flood the airwaves with advertisements.,bloomberg,2020-02-21 14:24:56,WRENxxx,Twitter Web App,1230860964876161025,https://twitter.com/statuses/1230860964876161025
"@sunlorrie Sanders pledges, are more popular with the the population",sanders,2020-02-21 14:24:57,SamLind93427900,Twitter Web App,1230860965035626497,https://twitter.com/statuses/1230860965035626497
Russian pranksters target Bernie Sanders https://t.co/vAH8QsC14c via @globalvoices,sanders,2020-02-21 14:24:57,FadlElmula,Twitter Web Client,1230860968785272834,https://twitter.com/statuses/1230860968785272834
"Current ordering of Democratic candidates' supporters from best to worst, based on how much they are dicks on the internet:
1) Warren
2) Klobuchar
3) Biden
4) Bloomberg
5) Sanders 
6) Buttigeig","warren, biden, sanders, klobuchar, bloomberg",2020-02-21 14:24:57,johnb78,TweetDeck,1230860968822898688,https://twitter.com/statuses/1230860968822898688
Also some of us have family members that are dying and want M4A so they stay on this Earth longer. My mother has CHF and if some asshole is going to boycott Bernie because of Warren potential VP pick and reduce the chances of the possibility of M4A for people like my mom...,warren,2020-02-21 14:24:57,AIEcoDesigns1,Twitter for Android,1230860969158443008,https://twitter.com/statuses/1230860969158443008
"DEM's go to great lengths to accuse and denounce Pres Trump of personal political attacks....yet, Warren(D) goes after Bloomberg(D) in what were personal political attacks and she is praised by DEM's for having a great debate.....","warren, bloomberg",2020-02-21 14:24:58,rduszak1,Twitter Web App,1230860969494052865,https://twitter.com/statuses/1230860969494052865
"...which is exactly why only peaceful secession can save America from a bloody civil war, and why that is the only remaining chance for liberty on the planet. https://t.co/k4ng3rHiEr",,2020-02-21 14:24:58,inthisdimension,Twitter for iPhone,1230860972165779456,https://twitter.com/statuses/1230860972165779456
Pewiod!!,,2020-02-21 14:24:59,bugattipapi,Twitter for iPhone,1230860973617139713,https://twitter.com/statuses/1230860973617139713
Don Jr wouldn’t last three seconds in a woman.,,2020-02-21 14:24:59,RaefDLF,Twitter for iPhone,1230860973717819393,https://twitter.com/statuses/1230860973717819393
"@ag_due anyone with half a brain understood long ago that the GOP would tie Bernie Sanders around our necks like a gd anvil.

it'll work too.",sanders,2020-02-21 14:24:59,TwinCitiesChick,Twitter Web App,1230860974342754307,https://twitter.com/statuses/1230860974342754307
@NDLB2020 And Bloomberg won’t end his non disclosure agreements.,bloomberg,2020-02-21 14:24:59,aleta58351797,Twitter for iPhone,1230860974867075073,https://twitter.com/statuses/1230860974867075073
@NFLBrasil Sanders nos Giants.,sanders,2020-02-21 14:24:59,FrozrOW,Twitter for iPhone,1230860975659798536,https://twitter.com/statuses/1230860975659798536
