Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
Waarom  Creepy Joe Biden nóóit zal en kan winnen van Trump en dat deze viespeuk nóóit president zal worden. Verder nog nieuws @chgroenhuijsen ??? https://t.co/bwhgcL6pWk,biden,2020-03-05 15:23:26,A3ano1,Twitter for Android,1235586729073143808,https://twitter.com/statuses/1235586729073143808
"@RavMABAY A very large part of this suffering ppl are enduring can be *directly* attributed to Biden.
The Crime Bill
The Bankruptcy Bill
The Iraq War
The Forever Wars under Obama
I can't even with your nonsense.

The only difference between Team Blue and Republicans is tone.",biden,2020-03-05 15:23:27,ramonferrandis,Twitter Web App,1235586729370935296,https://twitter.com/statuses/1235586729370935296
@Breaking911 But he can’t beat Elizabeth Warren!!!😂😂😂😂,warren,2020-03-05 15:23:27,Jklmski56,Twitter for iPhone,1235586729748373504,https://twitter.com/statuses/1235586729748373504
"@CyTheFox The irony, is that the Bernie voters were probably working when the polls were open and couldnt get time to vote, whereas the Biden supporters are retired and dont have to worry about money.

I'm no democrat supporter, but holy fuck the establishment DNC is begging for 0 votes",biden,2020-03-05 15:23:27,TomFluffytail,Twitter for Android,1235586729752567809,https://twitter.com/statuses/1235586729752567809
"@mattyglesias 3rd paragraph, 3rd sentence, think you meant 'they were ascendant after Sanders** won the New Hampshire primary'",sanders,2020-03-05 15:23:27,BulmanCD,Twitter for Android,1235586730809409537,https://twitter.com/statuses/1235586730809409537
It couldn’t be much more obvious. Biden doesn’t have a prayer against Trump.   https://t.co/xWeqYCxeW2,biden,2020-03-05 15:23:27,european_maga,Twitter for iPhone,1235586731656785920,https://twitter.com/statuses/1235586731656785920
Lara Trump: Bloomberg is part of establishment's effort to 'prop up' Biden like 'Weekend at Bernie's' – Fox News https://t.co/Zfldtb8bh9 https://t.co/ZQb19xs3KE,"biden, bloomberg",2020-03-05 15:23:27,voiceofthehwy,WordPress.com,1235586731396694016,https://twitter.com/statuses/1235586731396694016
@Danisha_Queen They already falling for it lmao It's been Biden and Bernie for the nomination at this point.,biden,2020-03-05 15:23:27,MauriceB__,Twitter Web App,1235586732159946755,https://twitter.com/statuses/1235586732159946755
"Raw Video: Joe Biden Promises That If He Wins, He's ""Coming For"" Your Guns https://t.co/QyUVpk6ddL via @YouTube",biden,2020-03-05 15:23:27,VANDERBUSHJANE,Twitter Web Client,1235586733212868608,https://twitter.com/statuses/1235586733212868608
Sanders LIES. Just like Trump. #NeverBernie #FleeTheBern,sanders,2020-03-05 15:23:28,AdamAddict,Twitter for Android,1235586734265487362,https://twitter.com/statuses/1235586734265487362
"If Biden is elected, the narrative will be that global fascism is now in retreat, which makes one wonder if World War II could have been prevented by electing centrist liberals.",biden,2020-03-05 15:23:28,daniel_dsj2110,Twitter Web App,1235586734345162752,https://twitter.com/statuses/1235586734345162752
