Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
"STOP telling people that ""A vote for [their candidate] is a vote for--"" Trump, or Biden, or the Boogeyman. 

I am responsible for my own vote. 
Not yours, and not anybody else's.

Also, Trump is going to cheat. 
So we can't know anything for sure.

LET PEOPLE VOTE.",biden,2020-03-02 15:05:41,Halaylah,Twitter for Android,1234495098148143104,https://twitter.com/statuses/1234495098148143104
https://t.co/n855zZDWBl,,2020-03-02 15:05:42,christinalobert,Twitter for Android,1234495099448516611,https://twitter.com/statuses/1234495099448516611
"Pete Buttigieg ended his campaign for President Sunday night, concluding the White House bid that vaulted the once-unknown mayor from South Bend, Indiana, to a top presidential contender.​ https://t.co/YhxXKyLzd5",buttigieg,2020-03-02 15:05:42,3onyourside,True Anthem,1234495101977743362,https://twitter.com/statuses/1234495101977743362
Sanders says Nancy Pelosi’s “doing a good job.”,sanders,2020-03-02 15:05:43,THEamberadams,Twitter for iPhone,1234495103009460224,https://twitter.com/statuses/1234495103009460224
"You know what else is ""pie in the sky""? Joe Biden getting my vote in the general.",biden,2020-03-02 15:05:43,socialisthermit,Twitter Web App,1234495103378444288,https://twitter.com/statuses/1234495103378444288
@JRubinBlogger Elizabeth Warren or Kamala Harris,warren,2020-03-02 15:05:43,MoMan60,Twitter Web App,1234495103995002880,https://twitter.com/statuses/1234495103995002880
Bernie Sanders apologizes to women who were sexually harassed while working for his 2016 presidential campaign https://t.co/Loc3uxc91z,sanders,2020-03-02 15:05:43,Ernesti87725119,Twitter Web Client,1234495104892710912,https://twitter.com/statuses/1234495104892710912
"@eric_d_couto If we’re being honest, none of them. But I’m probably going to end up voting for Warren.",warren,2020-03-02 15:05:44,CounselorCierra,Twitter for iPhone,1234495108701204481,https://twitter.com/statuses/1234495108701204481
This is after 4 years of being in the state,,2020-03-02 15:05:44,NoDaysOff85,Twitter for Android,1234495109229662208,https://twitter.com/statuses/1234495109229662208
@TrinityMustache Of course it would help Biden if he won CA but a strong second works. Denying Sanders unduly strong victories in CA & TX while winning in the south puts Biden in a good position.,"biden, sanders",2020-03-02 15:05:44,AndrewWiggin502,Twitter for Android,1234495109317693441,https://twitter.com/statuses/1234495109317693441
Yeah and I see dead people. 🙄and hear voices  😂 isn’t he running for senate? That’s what he said.,,2020-03-02 15:05:44,DepaolaRose,Twitter for iPhone,1234495109594591233,https://twitter.com/statuses/1234495109594591233
https://t.co/DtX66EsKKc,,2020-03-02 15:05:44,RizWanKenobi_,Twitter for Android,1234495109493927938,https://twitter.com/statuses/1234495109493927938
"@ChrisWenmoth If you pick individual states, yeah there are more polls of those, and in some Sanders leads a head-to-head matchup.  But we're talking about how they would fare in the 46 states yet to vote, so either a national poll or a large cross section of state polls would be needed.",sanders,2020-03-02 15:05:44,dancarney301,Twitter Web App,1234495111272247296,https://twitter.com/statuses/1234495111272247296
Agreed!!!  #Warren2020,"warren, #warren",2020-03-02 15:05:45,NancyMPatt,Twitter for Android,1234495111360327680,https://twitter.com/statuses/1234495111360327680
"New Twist: Biden says he was stopped By ‘Afrikaners With Guns’ 
For the first time Biden directly answered questions about the Ever- ""Evolving Tale,"" he said he was separated from members of the (CBC) by “Afrikaners with guns” during a trip to the country. https://t.co/syP2GXfTqK",biden,2020-03-02 15:05:45,Neal_FW,Twitter Web Client,1234495112325083137,https://twitter.com/statuses/1234495112325083137
#PeteToBernie,,2020-03-02 15:05:45,oaksongbotanica,Twitter Web App,1234495112769441793,https://twitter.com/statuses/1234495112769441793
"So, how do we get Bloomberg to drop out? Because he’s never going to run out of money and there are people who are actually stupid enough to vote for him because he’s a billionaire.",bloomberg,2020-03-02 15:05:45,reenuka,Twitter for iPhone,1234495113407188992,https://twitter.com/statuses/1234495113407188992
Yep. Yet another reason I’m voting for Warren tomorrow.,warren,2020-03-02 15:05:45,DKBurrow,Twitter for iPhone,1234495114720022532,https://twitter.com/statuses/1234495114720022532
